Politica,Cores,Tempo_ms,Speedup,Eficiencia_Pct,CV_Pct
RR,1,26.18,1.00,100.00,7.50
RR,2,16.48,1.59,79.45,7.77
RR,4,14.29,1.83,45.81,11.76
RR,6,14.17,1.85,30.80,12.07
FCFS,1,23.16,1.00,100.00,7.42
FCFS,2,15.46,1.50,74.89,11.60
FCFS,4,12.79,1.81,45.27,10.47
FCFS,6,13.21,1.75,29.22,8.71
SJN,1,24.05,1.00,100.00,5.53
SJN,2,15.71,1.53,76.53,7.67
SJN,4,13.11,1.83,45.85,9.83
SJN,6,13.35,1.80,30.02,10.07
PRIORITY,1,23.38,1.00,100.00,8.59
PRIORITY,2,13.52,1.73,86.42,8.91
PRIORITY,4,12.56,1.86,46.52,15.12
PRIORITY,6,13.46,1.74,28.94,10.70
