Politica,Cores,Tempo_ms,Speedup,Eficiencia_Pct,CV_Pct,Cache_Hits,Cache_Misses,Hit_Rate_Pct,Tempo_Espera_ms,Tempo_Turnaround_ms,CPU_Utilizacao_Pct,Throughput_proc_s
RR,1,26.18,1.000,100.00,7.50,45,7087,0.63,8.32,11.57,97.03,308.7645
RR,2,16.48,1.589,79.45,7.77,45,7087,0.63,3.24,6.87,56.63,494.3242
RR,4,14.29,1.832,45.81,11.76,45,7087,0.63,0.60,5.78,34.02,578.1012
RR,6,14.17,1.848,30.80,12.07,45,7087,0.63,0.35,6.30,19.88,585.8495
FCFS,1,23.16,1.000,100.00,7.42,45,7087,0.63,5.26,8.11,94.51,350.7683
FCFS,2,15.46,1.498,74.89,11.60,45,7087,0.63,2.19,5.60,56.16,534.5652
FCFS,4,12.79,1.811,45.27,10.47,45,7087,0.63,0.56,5.18,31.71,653.1843
FCFS,6,13.21,1.753,29.22,8.71,45,7087,0.63,0.33,5.86,20.27,637.0351
SJN,1,24.05,1.000,100.00,5.53,45,7087,0.63,5.52,8.49,94.51,336.5146
SJN,2,15.71,1.531,76.53,7.67,45,7087,0.63,2.24,5.61,49.24,523.1642
SJN,4,13.11,1.834,45.85,9.83,45,7087,0.63,0.56,5.43,31.96,634.5578
SJN,6,13.35,1.801,30.02,10.07,45,7087,0.63,0.34,5.64,18.27,630.0086
PRIORITY,1,23.38,1.000,100.00,8.59,45,7087,0.63,8.54,11.42,94.52,347.5764
PRIORITY,2,13.52,1.728,86.42,8.91,45,7087,0.63,2.85,5.94,68.06,610.6039
PRIORITY,4,12.56,1.861,46.52,15.12,45,7087,0.63,1.09,5.74,35.82,680.6102
PRIORITY,6,13.46,1.736,28.94,10.70,45,7087,0.63,0.36,6.07,19.78,625.4960
