Politica,Cores,Tempo_ms,Speedup,Eficiencia_Pct,CV_Pct
RR,1,122.16,1.00,100.00,0.38
RR,2,113.08,1.08,54.02,0.19
RR,4,110.57,1.10,27.62,1.09
RR,6,109.54,1.12,18.59,0.54
FCFS,1,121.10,1.00,100.00,0.35
FCFS,2,112.99,1.07,53.59,0.54
FCFS,4,110.16,1.10,27.48,0.72
FCFS,6,109.91,1.10,18.36,0.74
SJN,1,122.48,1.00,100.00,1.46
SJN,2,116.03,1.06,52.78,4.17
SJN,4,110.54,1.11,27.70,0.79
SJN,6,109.55,1.12,18.63,0.31
PRIORITY,1,122.51,1.00,100.00,0.06
PRIORITY,2,111.68,1.10,54.85,0.21
PRIORITY,4,109.39,1.12,28.00,0.38
PRIORITY,6,110.25,1.11,18.52,0.35
PRIORITY_PREEMPT,1,122.22,1.00,100.00,0.13
PRIORITY_PREEMPT,2,111.93,1.09,54.60,0.13
PRIORITY_PREEMPT,4,109.84,1.11,27.82,0.62
PRIORITY_PREEMPT,6,110.01,1.11,18.52,0.80
