Politica,Cores,Tempo_ms,Speedup,Eficiencia_Pct,CV_Pct,Cache_Hits,Cache_Misses,Hit_Rate_Pct,Tempo_Espera_ms,Tempo_Turnaround_ms,CPU_Utilizacao_Pct,Throughput_proc_s
RR,1,85.11,1.000,100.00,15.86,45,7087,0.63,11.86,16.10,96.96,260.0720
RR,2,65.66,1.296,64.82,2.69,45,7087,0.63,2.82,6.17,68.20,537.3056
RR,4,65.40,1.301,32.53,3.82,45,7087,0.63,0.77,6.00,45.51,550.9071
RR,6,65.51,1.299,21.66,1.24,45,7087,0.63,0.71,6.72,24.16,530.7727
FCFS,1,77.21,1.000,100.00,6.66,45,7087,0.63,4.55,7.90,94.50,312.2702
FCFS,2,68.72,1.124,56.18,3.59,45,7087,0.63,2.39,6.41,63.53,446.9316
FCFS,4,67.30,1.147,28.68,4.58,45,7087,0.63,1.67,7.70,49.52,491.5450
FCFS,6,63.42,1.217,20.29,2.67,45,7087,0.63,0.45,6.69,27.92,635.4220
SJN,1,78.77,1.000,100.00,5.23,45,7087,0.63,5.35,8.91,94.48,286.8052
SJN,2,71.35,1.104,55.20,5.94,45,7087,0.63,2.27,6.51,57.35,421.3869
SJN,4,64.52,1.221,30.52,6.83,45,7087,0.63,0.87,5.79,39.54,619.7014
SJN,6,65.97,1.194,19.90,6.28,45,7087,0.63,0.81,6.36,25.66,617.2907
PRIORITY,1,114.54,1.000,100.00,13.01,45,7087,0.63,23.53,31.54,94.50,131.4424
PRIORITY,2,86.71,1.321,66.05,4.44,45,7087,0.63,8.56,16.84,69.44,229.2468
PRIORITY,4,78.49,1.459,36.48,1.81,45,7087,0.63,2.94,12.26,47.37,316.6468
PRIORITY,6,74.35,1.540,25.67,1.66,45,7087,0.63,1.96,13.22,23.54,338.5692
