timestamp_ms,used_main_memory,used_secondary_memory,cache_hits,cache_misses
5323927,8,0,0,0
5323937,8,0,684,7
5323947,8,0,1486,7
5323958,8,0,2179,7
5323968,8,0,2853,7
5323978,8,0,3366,7
5323989,8,0,4361,7
5324000,8,0,5144,7
5324010,8,0,5891,7
5324021,8,0,6623,7
5324031,8,0,7362,7
5324041,8,0,8346,7
5324052,8,0,8957,7
5324063,8,0,9883,7
5324073,8,0,10746,7
5324083,8,0,11944,7
5324094,8,0,12730,7
5324104,8,0,13652,7
5324115,8,0,14077,7
5324125,8,0,14077,7
5324135,8,0,14077,7
5324147,8,0,14077,7
5324157,8,0,15281,7
5324167,8,0,16298,7
5324178,8,0,17474,7
5324188,8,0,18665,7
5324199,8,0,19724,7
5324210,8,0,20300,7
5324221,8,0,21077,7
5324232,8,0,21843,7
5324243,8,0,22640,7
5324253,8,0,23275,7
5324264,8,0,24147,7
5324275,8,0,25286,7
5324286,8,0,26159,7
5324297,8,0,27021,7
5324308,8,0,28178,7
5324318,8,0,28855,7
5324329,8,0,29851,7
5324339,8,0,30879,7
5324350,8,0,31724,7
5324360,8,0,32729,7
5324370,8,0,33817,7
5324381,8,0,34893,7
5324391,8,0,36053,7
5324401,8,0,36941,7
5324412,8,0,37372,7
5324422,8,0,38654,7
5324432,8,0,39466,7
5324443,8,0,40352,7
5324453,8,0,41351,7
5324464,8,0,42165,7
5324474,8,0,43073,7
5324485,8,0,43974,7
5324495,8,0,45020,7
5324506,8,0,45720,7
5324516,8,0,46800,7
5324527,8,0,47543,7
5324537,8,0,48384,7
5324548,8,0,49136,7
5324558,8,0,50139,7
5324570,8,0,51057,7
5324581,8,0,51489,7
5324594,8,0,52181,7
5324606,8,0,52475,7
5324617,8,0,53449,7
5324627,8,0,54180,7
5324637,8,0,54833,7
5324648,8,0,55679,7
5324658,8,0,55679,7
5324668,8,0,55679,7
5324679,8,0,55679,7
5324689,8,0,55679,7
5324700,8,0,56270,7
5324710,8,0,57497,7
5324720,8,0,58642,7
5324731,8,0,60030,7
5324741,8,0,61214,7
5324752,8,0,62397,7
5324763,8,0,63431,7
5324773,8,0,64404,7
5324784,8,0,65194,7
5324794,8,0,66116,7
5324804,8,0,67124,7
5324815,8,0,68040,7
5324825,8,0,68733,7
5324836,8,0,69030,7
5324846,8,0,69831,7
5324856,8,0,70331,7
5324868,8,0,70946,7
5324878,8,0,71800,7
5324888,8,0,72927,7
5324899,8,0,73467,7
5324909,8,0,74184,7
5324920,8,0,75195,7
5324930,8,0,75913,7
5324941,8,0,76761,7
5324951,8,0,76761,7
5324961,8,0,76761,7
5324972,8,0,76814,7
5324982,8,0,77699,7
5324993,8,0,78669,7
5325004,8,0,79628,7
5325015,8,0,80498,7
5325025,8,0,81341,7
5325036,8,0,82382,7
5325047,8,0,83210,7
5325057,8,0,83831,7
5325068,8,0,84798,7
