Politica,Cores,Tempo_ms,Speedup,Eficiencia_%,CV_%
RR,1,121.84,1.00,100.00,0.14
RR,2,113.28,1.08,53.78,0.16
RR,4,109.50,1.11,27.82,0.45
RR,6,109.60,1.11,18.53,0.03
FCFS,1,3203.93,1.00,100.00,0.09
FCFS,2,5002.74,0.64,32.02,0.56
FCFS,4,8997.90,0.36,8.90,0.42
FCFS,6,8405.40,0.38,6.35,69.80
SJN,1,2185.13,1.00,100.00,66.81
SJN,2,5015.59,0.44,21.78,0.45
SJN,4,5993.50,0.36,9.11,69.41
SJN,6,4251.58,0.51,8.57,137.73
PRIORITY,1,3493.29,1.00,100.00,0.10
PRIORITY,2,5312.77,0.66,32.88,0.53
PRIORITY,4,9236.08,0.38,9.46,0.42
PRIORITY,6,4318.64,0.81,13.48,137.77
PRIORITY_PREEMPT,1,3544.66,1.00,100.00,0.43
PRIORITY_PREEMPT,2,5291.02,0.67,33.50,0.35
PRIORITY_PREEMPT,4,9263.29,0.38,9.57,0.76
PRIORITY_PREEMPT,6,12795.52,0.28,4.62,0.59
