Politica,Cores,Tempo_ms,Speedup,Eficiencia_%,CV_%
RR,1,3509.19,1.00,100.00,136.42
RR,2,113.47,30.93,1546.26,2.75
RR,4,110.61,31.73,793.17,0.79
RR,6,110.73,31.69,528.21,1.16
FCFS,1,115.33,1.00,100.00,0.36
FCFS,2,109.72,1.05,52.56,0.42
FCFS,4,108.44,1.06,26.59,0.28
FCFS,6,108.50,1.06,17.72,1.26
SJN,1,115.00,1.00,100.00,0.70
SJN,2,109.58,1.05,52.47,0.45
SJN,4,109.24,1.05,26.32,1.31
SJN,6,109.15,1.05,17.56,0.44
PRIORITY,1,112.16,1.00,100.00,1.07
PRIORITY,2,107.97,1.04,51.94,0.49
PRIORITY,4,109.01,1.03,25.72,0.66
PRIORITY,6,5189.39,0.02,0.36,97.89
PRIORITY_PREEMPT,1,111.02,1.00,100.00,0.66
PRIORITY_PREEMPT,2,108.48,1.02,51.17,1.08
PRIORITY_PREEMPT,4,109.58,1.01,25.33,0.30
PRIORITY_PREEMPT,6,109.62,1.01,16.88,0.57
